search_parameter,base,code,status,type_,xpath,xpath_transformed,target,expression
context-quantity,ActivityDefinition,context-quantity,draft,quantity,f:ActivityDefinition/f:useContext/f:valueQuantity | f:ActivityDefinition/f:useContext/f:valueRange,ActivityDefinition.useContext.valueQuantity | ActivityDefinition.useContext.valueRange,None,(ActivityDefinition.useContext.value as Quantity) | (ActivityDefinition.useContext.value as Range)
context-type,ActivityDefinition,context-type,draft,token,f:ActivityDefinition/f:useContext/f:code,ActivityDefinition.useContext.code,None,ActivityDefinition.useContext.code
date,ActivityDefinition,date,draft,date,f:ActivityDefinition/f:date,ActivityDefinition.date,None,ActivityDefinition.date
depends-on,ActivityDefinition,depends-on,draft,reference,f:ActivityDefinition/f:relatedArtifact[f:type/@value='depends-on']/f:resource | f:ActivityDefinition/f:library,ActivityDefinition.relatedArtifact[type/@value='depends-on'].resource | ActivityDefinition.library,Library|Account|ActivityDefinition|AdverseEvent|AllergyIntolerance|Appointment|AppointmentResponse|AuditEvent|Basic|Binary|BiologicallyDerivedProduct|BodyStructure|Bundle|CapabilityStatement|CarePlan|CareTeam|CatalogEntry|ChargeItem|ChargeItemDefinition|Claim|ClaimResponse|ClinicalImpression|CodeSystem|Communication|CommunicationRequest|CompartmentDefinition|Composition|ConceptMap|Condition|Consent|Contract|Coverage|CoverageEligibilityRequest|CoverageEligibilityResponse|DetectedIssue|Device|DeviceDefinition|DeviceMetric|DeviceRequest|DeviceUseStatement|DiagnosticReport|DocumentManifest|DocumentReference|EffectEvidenceSynthesis|Encounter|Endpoint|EnrollmentRequest|EnrollmentResponse|EpisodeOfCare|EventDefinition|Evidence|EvidenceVariable|ExampleScenario|ExplanationOfBenefit|FamilyMemberHistory|Flag|Goal|GraphDefinition|Group|GuidanceResponse|HealthcareService|ImagingStudy|Immunization|ImmunizationEvaluation|ImmunizationRecommendation|ImplementationGuide|InsurancePlan|Invoice|Linkage|List|Location|Measure|MeasureReport|Media|Medication|MedicationAdministration|MedicationDispense|MedicationKnowledge|MedicationRequest|MedicationStatement|MedicinalProduct|MedicinalProductAuthorization|MedicinalProductContraindication|MedicinalProductIndication|MedicinalProductIngredient|MedicinalProductInteraction|MedicinalProductManufactured|MedicinalProductPackaged|MedicinalProductPharmaceutical|MedicinalProductUndesirableEffect|MessageDefinition|MessageHeader|MolecularSequence|NamingSystem|NutritionOrder|Observation|ObservationDefinition|OperationDefinition|OperationOutcome|Organization|OrganizationAffiliation|Patient|PaymentNotice|PaymentReconciliation|Person|PlanDefinition|Practitioner|PractitionerRole|Procedure|Provenance|Questionnaire|QuestionnaireResponse|RelatedPerson|RequestGroup|ResearchDefinition|ResearchElementDefinition|ResearchStudy|ResearchSubject|RiskAssessment|RiskEvidenceSynthesis|Schedule|SearchParameter|ServiceRequest|Slot|Specimen|SpecimenDefinition|StructureDefinition|StructureMap|Subscription|Substance|SubstanceNucleicAcid|SubstancePolymer|SubstanceProtein|SubstanceReferenceInformation|SubstanceSourceMaterial|SubstanceSpecification|SupplyDelivery|SupplyRequest|Task|TerminologyCapabilities|TestReport|TestScript|ValueSet|VerificationResult|VisionPrescription,ActivityDefinition.relatedArtifact.where(type='depends-on').resource | ActivityDefinition.library
derived-from,ActivityDefinition,derived-from,draft,reference,f:ActivityDefinition/f:relatedArtifact[f:type/@value='derived-from']/f:resource,ActivityDefinition.relatedArtifact[type/@value='derived-from'].resource,Account|ActivityDefinition|AdverseEvent|AllergyIntolerance|Appointment|AppointmentResponse|AuditEvent|Basic|Binary|BiologicallyDerivedProduct|BodyStructure|Bundle|CapabilityStatement|CarePlan|CareTeam|CatalogEntry|ChargeItem|ChargeItemDefinition|Claim|ClaimResponse|ClinicalImpression|CodeSystem|Communication|CommunicationRequest|CompartmentDefinition|Composition|ConceptMap|Condition|Consent|Contract|Coverage|CoverageEligibilityRequest|CoverageEligibilityResponse|DetectedIssue|Device|DeviceDefinition|DeviceMetric|DeviceRequest|DeviceUseStatement|DiagnosticReport|DocumentManifest|DocumentReference|EffectEvidenceSynthesis|Encounter|Endpoint|EnrollmentRequest|EnrollmentResponse|EpisodeOfCare|EventDefinition|Evidence|EvidenceVariable|ExampleScenario|ExplanationOfBenefit|FamilyMemberHistory|Flag|Goal|GraphDefinition|Group|GuidanceResponse|HealthcareService|ImagingStudy|Immunization|ImmunizationEvaluation|ImmunizationRecommendation|ImplementationGuide|InsurancePlan|Invoice|Library|Linkage|List|Location|Measure|MeasureReport|Media|Medication|MedicationAdministration|MedicationDispense|MedicationKnowledge|MedicationRequest|MedicationStatement|MedicinalProduct|MedicinalProductAuthorization|MedicinalProductContraindication|MedicinalProductIndication|MedicinalProductIngredient|MedicinalProductInteraction|MedicinalProductManufactured|MedicinalProductPackaged|MedicinalProductPharmaceutical|MedicinalProductUndesirableEffect|MessageDefinition|MessageHeader|MolecularSequence|NamingSystem|NutritionOrder|Observation|ObservationDefinition|OperationDefinition|OperationOutcome|Organization|OrganizationAffiliation|Patient|PaymentNotice|PaymentReconciliation|Person|PlanDefinition|Practitioner|PractitionerRole|Procedure|Provenance|Questionnaire|QuestionnaireResponse|RelatedPerson|RequestGroup|ResearchDefinition|ResearchElementDefinition|ResearchStudy|ResearchSubject|RiskAssessment|RiskEvidenceSynthesis|Schedule|SearchParameter|ServiceRequest|Slot|Specimen|SpecimenDefinition|StructureDefinition|StructureMap|Subscription|Substance|SubstanceNucleicAcid|SubstancePolymer|SubstanceProtein|SubstanceReferenceInformation|SubstanceSourceMaterial|SubstanceSpecification|SupplyDelivery|SupplyRequest|Task|TerminologyCapabilities|TestReport|TestScript|ValueSet|VerificationResult|VisionPrescription,ActivityDefinition.relatedArtifact.where(type='derived-from').resource
description,ActivityDefinition,description,draft,string,f:ActivityDefinition/f:description,ActivityDefinition.description,None,ActivityDefinition.description
effective,ActivityDefinition,effective,draft,date,f:ActivityDefinition/f:effectivePeriod,ActivityDefinition.effectivePeriod,None,ActivityDefinition.effectivePeriod
identifier,ActivityDefinition,identifier,draft,token,f:ActivityDefinition/f:identifier,ActivityDefinition.identifier,None,ActivityDefinition.identifier
jurisdiction,ActivityDefinition,jurisdiction,draft,token,f:ActivityDefinition/f:jurisdiction,ActivityDefinition.jurisdiction,None,ActivityDefinition.jurisdiction
name,ActivityDefinition,name,draft,string,f:ActivityDefinition/f:name,ActivityDefinition.name,None,ActivityDefinition.name
predecessor,ActivityDefinition,predecessor,draft,reference,f:ActivityDefinition/f:relatedArtifact[f:type/@value='predecessor']/f:resource,ActivityDefinition.relatedArtifact[type/@value='predecessor'].resource,Account|ActivityDefinition|AdverseEvent|AllergyIntolerance|Appointment|AppointmentResponse|AuditEvent|Basic|Binary|BiologicallyDerivedProduct|BodyStructure|Bundle|CapabilityStatement|CarePlan|CareTeam|CatalogEntry|ChargeItem|ChargeItemDefinition|Claim|ClaimResponse|ClinicalImpression|CodeSystem|Communication|CommunicationRequest|CompartmentDefinition|Composition|ConceptMap|Condition|Consent|Contract|Coverage|CoverageEligibilityRequest|CoverageEligibilityResponse|DetectedIssue|Device|DeviceDefinition|DeviceMetric|DeviceRequest|DeviceUseStatement|DiagnosticReport|DocumentManifest|DocumentReference|EffectEvidenceSynthesis|Encounter|Endpoint|EnrollmentRequest|EnrollmentResponse|EpisodeOfCare|EventDefinition|Evidence|EvidenceVariable|ExampleScenario|ExplanationOfBenefit|FamilyMemberHistory|Flag|Goal|GraphDefinition|Group|GuidanceResponse|HealthcareService|ImagingStudy|Immunization|ImmunizationEvaluation|ImmunizationRecommendation|ImplementationGuide|InsurancePlan|Invoice|Library|Linkage|List|Location|Measure|MeasureReport|Media|Medication|MedicationAdministration|MedicationDispense|MedicationKnowledge|MedicationRequest|MedicationStatement|MedicinalProduct|MedicinalProductAuthorization|MedicinalProductContraindication|MedicinalProductIndication|MedicinalProductIngredient|MedicinalProductInteraction|MedicinalProductManufactured|MedicinalProductPackaged|MedicinalProductPharmaceutical|MedicinalProductUndesirableEffect|MessageDefinition|MessageHeader|MolecularSequence|NamingSystem|NutritionOrder|Observation|ObservationDefinition|OperationDefinition|OperationOutcome|Organization|OrganizationAffiliation|Patient|PaymentNotice|PaymentReconciliation|Person|PlanDefinition|Practitioner|PractitionerRole|Procedure|Provenance|Questionnaire|QuestionnaireResponse|RelatedPerson|RequestGroup|ResearchDefinition|ResearchElementDefinition|ResearchStudy|ResearchSubject|RiskAssessment|RiskEvidenceSynthesis|Schedule|SearchParameter|ServiceRequest|Slot|Specimen|SpecimenDefinition|StructureDefinition|StructureMap|Subscription|Substance|SubstanceNucleicAcid|SubstancePolymer|SubstanceProtein|SubstanceReferenceInformation|SubstanceSourceMaterial|SubstanceSpecification|SupplyDelivery|SupplyRequest|Task|TerminologyCapabilities|TestReport|TestScript|ValueSet|VerificationResult|VisionPrescription,ActivityDefinition.relatedArtifact.where(type='predecessor').resource
publisher,ActivityDefinition,publisher,draft,string,f:ActivityDefinition/f:publisher,ActivityDefinition.publisher,None,ActivityDefinition.publisher
status,ActivityDefinition,status,draft,token,f:ActivityDefinition/f:status,ActivityDefinition.status,None,ActivityDefinition.status
successor,ActivityDefinition,successor,draft,reference,f:ActivityDefinition/f:relatedArtifact[f:type/@value='successor']/f:resource,ActivityDefinition.relatedArtifact[type/@value='successor'].resource,Account|ActivityDefinition|AdverseEvent|AllergyIntolerance|Appointment|AppointmentResponse|AuditEvent|Basic|Binary|BiologicallyDerivedProduct|BodyStructure|Bundle|CapabilityStatement|CarePlan|CareTeam|CatalogEntry|ChargeItem|ChargeItemDefinition|Claim|ClaimResponse|ClinicalImpression|CodeSystem|Communication|CommunicationRequest|CompartmentDefinition|Composition|ConceptMap|Condition|Consent|Contract|Coverage|CoverageEligibilityRequest|CoverageEligibilityResponse|DetectedIssue|Device|DeviceDefinition|DeviceMetric|DeviceRequest|DeviceUseStatement|DiagnosticReport|DocumentManifest|DocumentReference|EffectEvidenceSynthesis|Encounter|Endpoint|EnrollmentRequest|EnrollmentResponse|EpisodeOfCare|EventDefinition|Evidence|EvidenceVariable|ExampleScenario|ExplanationOfBenefit|FamilyMemberHistory|Flag|Goal|GraphDefinition|Group|GuidanceResponse|HealthcareService|ImagingStudy|Immunization|ImmunizationEvaluation|ImmunizationRecommendation|ImplementationGuide|InsurancePlan|Invoice|Library|Linkage|List|Location|Measure|MeasureReport|Media|Medication|MedicationAdministration|MedicationDispense|MedicationKnowledge|MedicationRequest|MedicationStatement|MedicinalProduct|MedicinalProductAuthorization|MedicinalProductContraindication|MedicinalProductIndication|MedicinalProductIngredient|MedicinalProductInteraction|MedicinalProductManufactured|MedicinalProductPackaged|MedicinalProductPharmaceutical|MedicinalProductUndesirableEffect|MessageDefinition|MessageHeader|MolecularSequence|NamingSystem|NutritionOrder|Observation|ObservationDefinition|OperationDefinition|OperationOutcome|Organization|OrganizationAffiliation|Patient|PaymentNotice|PaymentReconciliation|Person|PlanDefinition|Practitioner|PractitionerRole|Procedure|Provenance|Questionnaire|QuestionnaireResponse|RelatedPerson|RequestGroup|ResearchDefinition|ResearchElementDefinition|ResearchStudy|ResearchSubject|RiskAssessment|RiskEvidenceSynthesis|Schedule|SearchParameter|ServiceRequest|Slot|Specimen|SpecimenDefinition|StructureDefinition|StructureMap|Subscription|Substance|SubstanceNucleicAcid|SubstancePolymer|SubstanceProtein|SubstanceReferenceInformation|SubstanceSourceMaterial|SubstanceSpecification|SupplyDelivery|SupplyRequest|Task|TerminologyCapabilities|TestReport|TestScript|ValueSet|VerificationResult|VisionPrescription,ActivityDefinition.relatedArtifact.where(type='successor').resource
title,ActivityDefinition,title,draft,string,f:ActivityDefinition/f:title,ActivityDefinition.title,None,ActivityDefinition.title
topic,ActivityDefinition,topic,draft,token,f:ActivityDefinition/f:topic,ActivityDefinition.topic,None,ActivityDefinition.topic
url,ActivityDefinition,url,draft,uri,f:ActivityDefinition/f:url,ActivityDefinition.url,None,ActivityDefinition.url
version,ActivityDefinition,version,draft,token,f:ActivityDefinition/f:version,ActivityDefinition.version,None,ActivityDefinition.version
context-type-quantity,ActivityDefinition,context-type-quantity,draft,composite,None,None,None,ActivityDefinition.useContext
context-type-value,ActivityDefinition,context-type-value,draft,composite,None,None,None,ActivityDefinition.useContext
actuality,AdverseEvent,actuality,draft,token,f:AdverseEvent/f:actuality,AdverseEvent.actuality,None,AdverseEvent.actuality
category,AdverseEvent,category,draft,token,f:AdverseEvent/f:category,AdverseEvent.category,None,AdverseEvent.category
date,AdverseEvent,date,draft,date,f:AdverseEvent/f:date,AdverseEvent.date,None,AdverseEvent.date
event,AdverseEvent,event,draft,token,f:AdverseEvent/f:event,AdverseEvent.event,None,AdverseEvent.event
location,AdverseEvent,location,draft,reference,f:AdverseEvent/f:location,AdverseEvent.location,Location,AdverseEvent.location
recorder,AdverseEvent,recorder,draft,reference,f:AdverseEvent/f:recorder,AdverseEvent.recorder,Practitioner|Patient|PractitionerRole|RelatedPerson,AdverseEvent.recorder
resultingcondition,AdverseEvent,resultingcondition,draft,reference,f:AdverseEvent/f:resultingCondition,AdverseEvent.resultingCondition,Condition,AdverseEvent.resultingCondition
seriousness,AdverseEvent,seriousness,draft,token,f:AdverseEvent/f:seriousness,AdverseEvent.seriousness,None,AdverseEvent.seriousness
severity,AdverseEvent,severity,draft,token,f:AdverseEvent/f:severity,AdverseEvent.severity,None,AdverseEvent.severity
study,AdverseEvent,study,draft,reference,f:AdverseEvent/f:study,AdverseEvent.study,ResearchStudy,AdverseEvent.study
subject,AdverseEvent,subject,draft,reference,f:AdverseEvent/f:subject,AdverseEvent.subject,Practitioner|Group|Patient|RelatedPerson,AdverseEvent.subject
substance,AdverseEvent,substance,draft,reference,f:AdverseEvent/f:suspectEntity/f:instance,AdverseEvent.suspectEntity.instance,Immunization|Device|Medication|Procedure|Substance|MedicationAdministration|MedicationStatement,AdverseEvent.suspectEntity.instance
asserter,AllergyIntolerance,asserter,draft,reference,f:AllergyIntolerance/f:asserter,AllergyIntolerance.asserter,Practitioner|Patient|PractitionerRole|RelatedPerson,AllergyIntolerance.asserter
category,AllergyIntolerance,category,draft,token,f:AllergyIntolerance/f:category,AllergyIntolerance.category,None,AllergyIntolerance.category
clinical-status,AllergyIntolerance,clinical-status,draft,token,f:AllergyIntolerance/f:clinicalStatus,AllergyIntolerance.clinicalStatus,None,AllergyIntolerance.clinicalStatus
code,AllergyIntolerance|Condition|DeviceRequest|DiagnosticReport|FamilyMemberHistory|List|Medication|MedicationAdministration|MedicationDispense|MedicationRequest|MedicationStatement|Observation|Procedure|ServiceRequest,code,draft,token,f:AllergyIntolerance/f:code | f:AllergyIntolerance/f:reaction/f:substance | f:Condition/f:code | f:DeviceRequest/f:codeCodeableConcept | f:DiagnosticReport/f:code | f:FamilyMemberHistory/f:condition/f:code | f:List/f:code | f:Medication/f:code | f:MedicationAdministration/f:medicationCodeableConcept | f:MedicationDispense/f:medicationCodeableConcept | f:MedicationRequest/f:medicationCodeableConcept | f:MedicationStatement/f:medicationCodeableConcept | f:Observation/f:code | f:Procedure/f:code | f:ServiceRequest/f:code,AllergyIntolerance.code | AllergyIntolerance.reaction.substance | Condition.code | DeviceRequest.codeCodeableConcept | DiagnosticReport.code | FamilyMemberHistory.condition.code | List.code | Medication.code | MedicationAdministration.medicationCodeableConcept | MedicationDispense.medicationCodeableConcept | MedicationRequest.medicationCodeableConcept | MedicationStatement.medicationCodeableConcept | Observation.code | Procedure.code | ServiceRequest.code,None,AllergyIntolerance.code | AllergyIntolerance.reaction.substance | Condition.code | (DeviceRequest.code as CodeableConcept) | DiagnosticReport.code | FamilyMemberHistory.condition.code | List.code | Medication.code | (MedicationAdministration.medication as CodeableConcept) | (MedicationDispense.medication as CodeableConcept) | (MedicationRequest.medication as CodeableConcept) | (MedicationStatement.medication as CodeableConcept) | Observation.code | Procedure.code | ServiceRequest.code
criticality,AllergyIntolerance,criticality,draft,token,f:AllergyIntolerance/f:criticality,AllergyIntolerance.criticality,None,AllergyIntolerance.criticality
date,AllergyIntolerance|CarePlan|CareTeam|ClinicalImpression|Composition|Consent|DiagnosticReport|Encounter|EpisodeOfCare|FamilyMemberHistory|Flag|Immunization|List|Observation|Procedure|RiskAssessment|SupplyRequest,date,draft,date,f:AllergyIntolerance/f:recordedDate | f:CarePlan/f:period | f:CareTeam/f:period | f:ClinicalImpression/f:date | f:Composition/f:date | f:Consent/f:dateTime | f:DiagnosticReport/f:effectiveDateTime | f:DiagnosticReport/f:effectivePeriod | f:Encounter/f:period | f:EpisodeOfCare/f:period | f:FamilyMemberHistory/f:date | f:Flag/f:period | f:Immunization/f:occurrenceDateTime | f:Immunization/f:occurrenceString | f:List/f:date | f:Observation/f:effectiveDateTime | f:Observation/f:effectivePeriod | f:Observation/f:effectiveTiming | f:Observation/f:effectiveInstant | f:Procedure/f:performedDateTime | f:Procedure/f:performedPeriod | f:Procedure/f:performedString | f:Procedure/f:performedAge | f:Procedure/f:performedRange | f:RiskAssessment/f:occurrenceDateTime | f:SupplyRequest/f:authoredOn,AllergyIntolerance.recordedDate | CarePlan.period | CareTeam.period | ClinicalImpression.date | Composition.date | Consent.dateTime | DiagnosticReport.effectiveDateTime | DiagnosticReport.effectivePeriod | Encounter.period | EpisodeOfCare.period | FamilyMemberHistory.date | Flag.period | Immunization.occurrenceDateTime | Immunization.occurrenceString | List.date | Observation.effectiveDateTime | Observation.effectivePeriod | Observation.effectiveTiming | Observation.effectiveInstant | Procedure.performedDateTime | Procedure.performedPeriod | Procedure.performedString | Procedure.performedAge | Procedure.performedRange | RiskAssessment.occurrenceDateTime | SupplyRequest.authoredOn,None,AllergyIntolerance.recordedDate | CarePlan.period | CareTeam.period | ClinicalImpression.date | Composition.date | Consent.dateTime | DiagnosticReport.effective | Encounter.period | EpisodeOfCare.period | FamilyMemberHistory.date | Flag.period | Immunization.occurrence | List.date | Observation.effective | Procedure.performed | (RiskAssessment.occurrence as dateTime) | SupplyRequest.authoredOn
identifier,AllergyIntolerance|CarePlan|CareTeam|Composition|Condition|Consent|DetectedIssue|DeviceRequest|DiagnosticReport|DocumentManifest|DocumentReference|Encounter|EpisodeOfCare|FamilyMemberHistory|Goal|ImagingStudy|Immunization|List|MedicationAdministration|MedicationDispense|MedicationRequest|MedicationStatement|NutritionOrder|Observation|Procedure|RiskAssessment|ServiceRequest|SupplyDelivery|SupplyRequest|VisionPrescription,identifier,draft,token,f:AllergyIntolerance/f:identifier | f:CarePlan/f:identifier | f:CareTeam/f:identifier | f:Composition/f:identifier | f:Condition/f:identifier | f:Consent/f:identifier | f:DetectedIssue/f:identifier | f:DeviceRequest/f:identifier | f:DiagnosticReport/f:identifier | f:DocumentManifest/f:masterIdentifier | f:DocumentManifest/f:identifier | f:DocumentReference/f:masterIdentifier | f:DocumentReference/f:identifier | f:Encounter/f:identifier | f:EpisodeOfCare/f:identifier | f:FamilyMemberHistory/f:identifier | f:Goal/f:identifier | f:ImagingStudy/f:identifier | f:Immunization/f:identifier | f:List/f:identifier | f:MedicationAdministration/f:identifier | f:MedicationDispense/f:identifier | f:MedicationRequest/f:identifier | f:MedicationStatement/f:identifier | f:NutritionOrder/f:identifier | f:Observation/f:identifier | f:Procedure/f:identifier | f:RiskAssessment/f:identifier | f:ServiceRequest/f:identifier | f:SupplyDelivery/f:identifier | f:SupplyRequest/f:identifier | f:VisionPrescription/f:identifier,AllergyIntolerance.identifier | CarePlan.identifier | CareTeam.identifier | Composition.identifier | Condition.identifier | Consent.identifier | DetectedIssue.identifier | DeviceRequest.identifier | DiagnosticReport.identifier | DocumentManifest.masterIdentifier | DocumentManifest.identifier | DocumentReference.masterIdentifier | DocumentReference.identifier | Encounter.identifier | EpisodeOfCare.identifier | FamilyMemberHistory.identifier | Goal.identifier | ImagingStudy.identifier | Immunization.identifier | List.identifier | MedicationAdministration.identifier | MedicationDispense.identifier | MedicationRequest.identifier | MedicationStatement.identifier | NutritionOrder.identifier | Observation.identifier | Procedure.identifier | RiskAssessment.identifier | ServiceRequest.identifier | SupplyDelivery.identifier | SupplyRequest.identifier | VisionPrescription.identifier,None,AllergyIntolerance.identifier | CarePlan.identifier | CareTeam.identifier | Composition.identifier | Condition.identifier | Consent.identifier | DetectedIssue.identifier | DeviceRequest.identifier | DiagnosticReport.identifier | DocumentManifest.masterIdentifier | DocumentManifest.identifier | DocumentReference.masterIdentifier | DocumentReference.identifier | Encounter.identifier | EpisodeOfCare.identifier | FamilyMemberHistory.identifier | Goal.identifier | ImagingStudy.identifier | Immunization.identifier | List.identifier | MedicationAdministration.identifier | MedicationDispense.identifier | MedicationRequest.identifier | MedicationStatement.identifier | NutritionOrder.identifier | Observation.identifier | Procedure.identifier | RiskAssessment.identifier | ServiceRequest.identifier | SupplyDelivery.identifier | SupplyRequest.identifier | VisionPrescription.identifier
last-date,AllergyIntolerance,last-date,draft,date,f:AllergyIntolerance/f:lastOccurrence,AllergyIntolerance.lastOccurrence,None,AllergyIntolerance.lastOccurrence
manifestation,AllergyIntolerance,manifestation,draft,token,f:AllergyIntolerance/f:reaction/f:manifestation,AllergyIntolerance.reaction.manifestation,None,AllergyIntolerance.reaction.manifestation
onset,AllergyIntolerance,onset,draft,date,f:AllergyIntolerance/f:reaction/f:onset,AllergyIntolerance.reaction.onset,None,AllergyIntolerance.reaction.onset
